ticker,model_version,qv_policy_version,watch_observed_at,qv_status,qv_reason,qv_event,trend_status,trend_reason,trend_event,price,price_asof,financial_asof,fundamentals_asof,entry_status,qv_price_limit,qv_pe,qv_normalized_owner_yield,roe,trend_asof,trend_adjusted_close,trend_ma50,trend_ma200,trend_momentum_6m,trend_benchmark_momentum_6m,trend_relative_6m,trend_benchmark,trend_benchmark_close,trend_observations
0700.HK,MOS_Radar_V6.8.0,1,2026-09-08T04:54:41.452519+00:00,QUALITY_PRICE_WAIT,质量通过，但价格超过20倍盈利或5%正常化Owner FCF收益率约束,FIRST_OBSERVATION,NOT_ELIGIBLE,先满足质量与合理估值条件,FIRST_OBSERVATION,438.0,2026-09-08T03:58:03+00:00,2025-12-31,2026-09-08T04:13:12.651356+00:00,WAIT_PRICE,343.34892059650844,15.036707217165516,0.0391950822598754,0.1979499107719045,,,,,,,,,,
6862.HK,MOS_Radar_V6.8.0,1,2026-09-08T04:54:41.452519+00:00,QUALITY_WATCH,通过质量门槛及合理估值初始规则；不等于厚安全边际或买入指令,FIRST_OBSERVATION,TREND_WAIT,长均线或相对强度未同时通过；若此前持有，应复核趋势理由,FIRST_OBSERVATION,11.39,2026-09-08T03:59:30+00:00,2025-12-31,2026-09-08T04:17:43.825114+00:00,WAIT_PRICE,16.636245196038296,13.041236315519678,0.0730300491485438,0.4044189635000517,2026-09-07T00:00:00+00:00,11.279999732971191,11.095096416473387,13.169989533424378,-0.2770018180244135,-0.0822387427859679,-0.1947630752384455,^HSI,25413.119140625,370.0
3692.HK,MOS_Radar_V6.8.0,1,2026-09-08T04:54:41.452519+00:00,QUALITY_PRICE_WAIT,质量通过，但价格超过20倍盈利或5%正常化Owner FCF收益率约束,FIRST_OBSERVATION,NOT_ELIGIBLE,先满足质量与合理估值条件,FIRST_OBSERVATION,36.34,2026-09-08T03:59:06+00:00,2025-12-31,2026-09-08T04:21:29.749656+00:00,WAIT_PRICE,13.6359602696233,33.958113137785524,0.018761640437016,0.1570916794382019,,,,,,,,,,
0669.HK,MOS_Radar_V6.8.0,1,2026-09-08T04:54:41.452519+00:00,QUALITY_PRICE_WAIT,质量通过，但价格超过20倍盈利或5%正常化Owner FCF收益率约束,FIRST_OBSERVATION,NOT_ELIGIBLE,先满足质量与合理估值条件,FIRST_OBSERVATION,131.6,2026-09-08T03:59:45+00:00,2026-06-30,2026-09-08T04:24:17.667101+00:00,WAIT_PRICE,91.29881710929824,23.4391510292996,0.0346880004214658,0.1756869297965039,,,,,,,,,,
9999.HK,MOS_Radar_V6.8.0,1,2026-09-08T04:54:41.452519+00:00,QUALITY_WATCH,通过质量门槛及合理估值初始规则；不等于厚安全边际或买入指令,FIRST_OBSERVATION,TREND_WAIT,长均线或相对强度未同时通过；若此前持有，应复核趋势理由,FIRST_OBSERVATION,188.9,2026-09-08T03:59:52+00:00,2026-06-30,2026-09-08T04:25:48.697230+00:00,WAIT_PRICE,234.09312283567692,15.925646075617731,0.0619621817987498,0.1945795076130581,2026-09-07T00:00:00+00:00,187.6999969482422,199.16827056884765,196.0440968322754,-0.0047827798305668,-0.0822387427859679,0.0774559629554011,^HSI,25413.119140625,370.0
1579.HK,MOS_Radar_V6.8.0,1,2026-09-08T04:54:41.452519+00:00,QUALITY_WATCH,通过质量门槛及合理估值初始规则；不等于厚安全边际或买入指令,FIRST_OBSERVATION,TREND_WATCH,完整交易日趋势通过，需复核当前报价,FIRST_OBSERVATION,14.78,2026-09-08T03:58:08+00:00,2025-12-31,2026-09-08T04:34:16.103261+00:00,WAIT_PRICE,15.45093196752429,14.376727716531404,0.0522697292541417,0.1789579722326828,2026-09-07T00:00:00+00:00,14.75119972229004,14.610202617645264,13.878408818244932,0.0416782854282853,-0.0822387427859679,0.1239170282142533,^HSI,25413.119140625,370.0
6831.HK,MOS_Radar_V6.8.0,1,2026-09-08T04:54:41.452519+00:00,QUALITY_WATCH,通过质量门槛及合理估值初始规则；不等于厚安全边际或买入指令,FIRST_OBSERVATION,TREND_WAIT,长均线或相对强度未同时通过；若此前持有，应复核趋势理由,FIRST_OBSERVATION,5.245,2026-09-08T03:57:09+00:00,2025-12-31,2026-09-08T04:37:04.887934+00:00,WAIT_PRICE,15.069232171553743,6.078549000226523,0.1436533095477001,0.2776692678605675,2026-09-07T00:00:00+00:00,5.375,6.201899995803833,6.516274540424347,0.0574607452776436,-0.0822387427859679,0.1396994880636116,^HSI,25413.119140625,325.0
2555.HK,MOS_Radar_V6.8.0,1,2026-09-08T04:54:41.452519+00:00,QUALITY_WATCH,通过质量门槛及合理估值初始规则；不等于厚安全边际或买入指令,FIRST_OBSERVATION,TREND_WAIT,长均线或相对强度未同时通过；若此前持有，应复核趋势理由,FIRST_OBSERVATION,4.27,2026-09-08T03:59:03+00:00,2025-12-31,2026-09-08T04:38:12.238464+00:00,WAIT_PRICE,9.249342735878074,6.692322114960921,0.1083061210290172,0.2024543627078126,2026-09-07T00:00:00+00:00,4.269999980926514,4.670500020980835,5.596406719684601,-0.2348332620696355,-0.0822387427859679,-0.1525945192836675,^HSI,25413.119140625,370.0
1651.HK,MOS_Radar_V6.8.0,1,2026-09-08T04:54:41.452519+00:00,QUALITY_PRICE_WAIT,质量通过，但价格超过20倍盈利或5%正常化Owner FCF收益率约束,FIRST_OBSERVATION,NOT_ELIGIBLE,先满足质量与合理估值条件,FIRST_OBSERVATION,49.88,2026-09-08T03:59:49+00:00,2026-03-31,2026-09-08T04:40:55.909319+00:00,WAIT_PRICE,36.07683116435804,14.385720877014426,0.0361636238616259,0.3016804160599677,,,,,,,,,,
2273.HK,MOS_Radar_V6.8.0,1,2026-09-08T04:54:41.452519+00:00,QUALITY_WATCH,通过质量门槛及合理估值初始规则；不等于厚安全边际或买入指令,FIRST_OBSERVATION,TREND_WAIT,长均线或相对强度未同时通过；若此前持有，应复核趋势理由,FIRST_OBSERVATION,26.92,2026-09-08T03:57:22+00:00,2025-12-31,2026-09-08T04:45:34.665188+00:00,WAIT_PRICE,33.60814251630622,13.838619145385405,0.0624222557880873,0.1625659395174427,2026-09-07T00:00:00+00:00,26.979999542236328,28.36479995727539,27.922584829330443,-0.0526576937748152,-0.0822387427859679,0.0295810490111527,^HSI,25413.119140625,370.0
